param;mg/L
DO80;14.32
DO80;14.26
DO80;14.32
DO80;14.30
DO80;14.34
DO80;14.31
DO80;14.30
DO80;14.34
DO80;14.46
DO80;14.47
DO80;14.48
DO80;14.48
DO80;14.52
DO80;14.50
DO80;14.54
DO80;14.50
DO80;14.50
DO80;14.48
DO80;14.49
DO80;14.56
DO80;14.52
DO80;14.55
DO80;14.53
DO80;14.51
DO80;14.61
DO80;14.54
DO80;14.57
DO80;14.52
DO80;14.59
DO80;14.53
DO80;14.55
DO80;14.53
DO80;14.53
DO80;14.51
DO80;14.55
DO80;14.54
DO80;14.57
DO80;14.62
DO80;14.58
DO80;14.56
DO80;14.60
DO80;14.58
DO80;14.61
DO80;14.57
DO80;14.60
DO80;14.59
DO80;14.56
DO80;14.59
DO80;14.55
DO80;14.62
DO80;14.56
DO80;14.63
DO80;14.62
DO80;14.62
DO80;14.62
DO80;14.60
DO80;14.63
DO80;14.64
DO80;14.65
DO80;14.63
DO80;14.64
DO80;14.66
DO80;14.66
DO80;14.64
DO80;14.68
DO80;14.67
DO80;14.66
DO80;14.59
DO80;14.66
DO80;14.66
DO80;14.56
DO80;14.57
DO80;14.64
DO80;14.62
DO80;14.67
DO80;14.62
DO80;14.61
DO80;14.67
DO80;14.61
DO80;14.61
DO80;14.68
DO80;14.67
DO80;14.66
DO80;14.68
DO80;14.66
DO80;14.67
DO80;14.68
DO80;14.63
DO80;14.67
DO80;14.65
DO80;14.66
DO80;14.66
DO80;14.68
DO80;14.63
DO80;14.65
DO80;14.66
DO80;14.66
DO80;14.62
DO80;14.68
DO80;14.69
DO80;14.71
DO80;14.62
DO80;14.65
DO80;14.69
DO80;14.64
DO80;14.62
DO80;14.68
DO80;14.68
DO80;14.68
DO80;14.67
DO80;14.70
DO80;14.69
DO80;14.67
DO80;14.73
DO80;14.69
DO80;14.71
DO80;14.66
DO80;14.69
DO80;14.68
DO80;14.72
DO80;14.68
DO80;14.64
DO80;14.68
DO80;14.63
DO80;14.64
DO80;14.66
DO80;14.68
DO80;14.63
DO80;14.65
DO80;14.71
DO80;14.67
DO80;14.71
DO80;14.67
DO80;14.72
DO80;14.65
DO80;14.63
DO80;14.63
DO80;14.66
DO80;14.69
DO80;14.67
DO80;14.71
DO80;14.68
DO80;14.63
DO80;14.74
DO80;14.66
DO80;14.69
DO80;14.70
DO80;14.71
DO80;14.61
DO80;14.64
DO80;14.71
DO80;14.70
DO80;14.63
DO80;14.67
DO80;14.67
DO80;14.63
DO80;14.70
DO80;14.65
DO80;14.66
DO80;14.66
DO80;14.73
DO80;14.66
DO80;14.65
DO80;14.69
DO80;14.61
DO80;14.66
DO80;14.69
DO80;14.67
DO80;14.62
DO80;14.64
DO80;14.64
DO80;14.62
DO80;14.67
DO80;14.67
DO80;14.64
DO80;14.70
DO80;14.70
DO80;14.63
DO80;14.63
DO80;14.64
DO80;14.61
DO80;14.63
DO80;14.61
DO80;14.64
DO80;14.64
DO80;14.61
DO80;14.62
DO80;14.57
DO80;14.58
DO80;14.63
DO80;14.63
DO80;14.64
DO80;14.64
DO80;14.61
DO80;14.66
DO80;14.59
DO80;14.61
DO80;14.62
DO80;14.61
DO80;14.61
DO80;14.53
DO80;14.58
DO80;14.56
DO80;14.60
DO80;14.57
DO80;14.59
DO80;14.59
DO80;14.59
DO80;14.56
DO80;14.57
DO80;14.58
DO80;14.62
DO80;14.61
DO80;14.62
DO80;14.61
DO80;14.58
DO80;14.59
DO80;14.62
DO80;14.61
DO1100;13.17
DO1100;13.20
DO1100;13.25
DO1100;13.19
DO1100;13.20
DO1100;13.19
DO1100;13.24
DO1100;13.26
DO1100;13.28
DO1100;13.29
DO1100;13.23
DO1100;13.25
DO1100;13.29
DO1100;13.21
DO1100;13.25
DO1100;13.25
DO1100;13.26
DO1100;13.27
DO1100;13.27
DO1100;13.26
DO1100;13.20
DO1100;13.28
DO1100;13.25
DO1100;13.19
DO1100;13.28
DO1100;13.26
DO1100;13.26
DO1100;13.26
DO1100;13.31
DO1100;13.31
DO1100;13.34
DO1100;13.29
DO1100;13.25
DO1100;13.31
DO1100;13.30
DO1100;13.37
DO1100;13.31
DO1100;13.31
DO1100;13.32
DO1100;13.30
DO1100;13.32
DO1100;13.38
DO1100;13.36
DO1100;13.32
DO1100;13.30
DO1100;13.38
DO1100;13.32
DO1100;13.26
DO1100;13.28
DO1100;13.38
DO1100;13.32
DO1100;13.32
DO1100;13.34
DO1100;13.32
DO1100;13.35
DO1100;13.32
DO1100;13.34
DO1100;13.36
DO1100;13.38
DO1100;13.31
DO1100;13.36
DO1100;13.28
DO1100;13.30
DO1100;13.26
DO1100;13.32
DO1100;13.28
DO1100;13.35
DO1100;13.31
DO1100;13.29
DO1100;13.32
DO1100;13.34
DO1100;13.37
DO1100;13.33
DO1100;13.39
DO1100;13.29
DO1100;13.38
DO1100;13.40
DO1100;13.32
DO1100;13.36
DO1100;13.40
DO1100;13.46
DO1100;13.28
DO1100;13.32
DO1100;13.40
DO1100;13.41
DO1100;13.37
DO1100;13.39
DO1100;13.36
DO1100;13.35
DO1100;13.38
DO1100;13.31
DO1100;13.46
DO1100;13.44
DO1100;13.43
