Date (m/d/y);Day;Time;Sample;Chloride 80ft (mg/L);Chloride 1100 ft (mg/L);Difference
26/01/05;2;3:23;280;16.49;18.28;1.79
26/01/05;2;3:24;281;16.50;18.30;1.80
26/01/05;2;3:25;282;16.43;18.32;1.89
26/01/05;2;3:26;283;16.45;18.31;1.86
26/01/05;2;3:27;284;16.45;18.33;1.88
26/01/05;2;3:28;285;16.44;18.28;1.84
26/01/05;2;3:29;286;16.43;18.33;1.90
26/01/05;2;3:30;287;16.38;18.31;1.93
26/01/05;2;3:31;288;16.46;18.35;1.89
26/01/05;2;3:32;289;16.44;18.32;1.88
26/01/05;2;3:33;290;16.44;18.30;1.86
26/01/05;2;3:34;291;16.43;18.21;1.78
26/01/05;2;3:35;292;16.35;18.12;1.77
26/01/05;2;3:36;293;16.40;18.10;1.70
26/01/05;2;3:37;294;16.40;18.03;1.63
26/01/05;2;3:38;295;16.40;17.97;1.57
26/01/05;2;3:39;296;16.38;17.98;1.60
26/01/05;2;3:40;297;16.35;17.96;1.61
26/01/05;2;3:41;298;16.38;17.94;1.56
26/01/05;2;3:42;299;16.39;17.94;1.55
26/01/05;2;3:43;300;16.39;17.91;1.52
26/01/05;2;3:44;301;16.36;17.93;1.57
26/01/05;2;3:45;302;16.32;17.92;1.60
26/01/05;2;3:46;303;16.37;17.92;1.55
26/01/05;2;3:47;304;16.37;17.90;1.53
26/01/05;2;3:48;305;16.37;17.90;1.53
26/01/05;2;3:49;306;16.35;17.90;1.55
26/01/05;2;3:50;307;16.32;17.91;1.59
26/01/05;2;3:51;308;16.38;17.91;1.53
26/01/05;2;3:52;309;16.37;17.89;1.52
26/01/05;2;3:53;310;16.36;17.87;1.51
26/01/05;2;3:54;311;16.35;17.91;1.56
26/01/05;2;3:55;312;16.36;17.94;1.58
26/01/05;2;3:56;313;16.37;17.93;1.56
26/01/05;2;3:57;314;16.38;17.92;1.54
26/01/05;2;3:58;315;16.37;17.90;1.53
26/01/05;2;3:59;316;16.35;17.91;1.56
26/01/05;2;4:00;317;16.31;17.87;1.56
