param;mg/L
C80;16.64
C80;16.63
C80;16.66
C80;16.64
C80;16.62
C80;16.67
C80;16.55
C80;16.53
C80;16.51
C80;16.45
C80;16.45
C80;16.50
C80;16.56
C80;16.46
C80;16.46
C80;16.46
C80;16.40
C80;16.40
C80;16.38
C80;16.41
C80;16.40
C80;16.33
C80;16.37
C80;16.36
C80;16.34
C80;16.36
C80;16.32
C80;16.36
C80;16.37
C80;16.30
C80;16.32
C80;16.27
C80;16.34
C80;16.35
C80;16.33
C80;16.37
C80;16.29
C80;16.36
C80;16.36
C80;16.32
C80;16.34
C80;16.34
C80;16.34
C80;16.35
C80;16.31
C80;16.32
C80;16.29
C80;16.32
C80;16.35
C80;16.32
C80;16.32
C80;16.29
C80;16.34
C80;16.35
C80;16.33
C80;16.34
C80;16.25
C80;16.33
C80;16.33
C80;16.33
C80;16.33
C80;16.28
C80;16.32
C80;16.32
C80;16.30
C80;16.33
C80;16.26
C80;16.31
C80;16.30
C80;16.28
C80;16.30
C80;16.27
C80;16.32
C80;16.31
C80;16.31
C80;16.34
C80;16.27
C80;16.33
C80;16.33
C80;16.31
C80;16.32
C80;16.26
C80;16.31
C80;16.30
C80;16.29
C80;16.29
C80;16.25
C80;16.29
C80;16.26
C80;16.28
C80;16.27
C80;16.23
C80;16.32
C80;16.52
C80;16.66
C80;16.74
C80;16.77
C80;16.83
C80;16.86
C80;16.87
C80;16.87
C80;16.89
C80;16.90
C80;16.93
C80;16.93
C80;16.95
C80;16.91
C80;16.97
C80;17.00
C80;17.00
C80;17.04
C80;16.97
C80;17.02
C80;17.00
C80;16.93
C80;16.81
C80;16.69
C80;16.67
C80;16.62
C80;16.63
C80;16.56
C80;16.53
C80;16.55
C80;16.50
C80;16.49
C80;16.50
C80;16.43
C80;16.45
C80;16.45
C80;16.44
C80;16.43
C80;16.38
C80;16.46
C80;16.44
C80;16.44
C80;16.43
C80;16.35
C80;16.40
C80;16.40
C80;16.40
C80;16.38
C80;16.35
C80;16.38
C80;16.39
C80;16.39
C80;16.36
C80;16.32
C80;16.37
C80;16.37
C80;16.37
C80;16.35
C80;16.32
C80;16.38
C80;16.37
C80;16.36
C80;16.35
C80;16.36
C80;16.37
C80;16.38
C80;16.37
C80;16.35
C80;16.31
C1100;17.02
C1100;17.12
C1100;17.12
C1100;17.11
C1100;17.03
C1100;17.03
C1100;16.93
C1100;17.02
C1100;17.02
C1100;17.10
C1100;17.02
C1100;17.03
C1100;17.01
C1100;17.00
C1100;17.10
C1100;17.01
C1100;17.02
C1100;16.93
C1100;17.08
C1100;16.93
C1100;16.91
C1100;17.00
C1100;17.08
C1100;17.00
C1100;17.08
C1100;17.09
C1100;17.00
C1100;17.00
C1100;16.97
C1100;17.00
C1100;16.96
C1100;17.02
C1100;16.93
C1100;16.99
C1100;16.99
C1100;17.00
C1100;16.92
C1100;17.00
C1100;16.97
C1100;16.99
C1100;17.00
C1100;16.97
C1100;17.05
C1100;16.97
C1100;16.99
C1100;16.99
C1100;16.99
C1100;17.00
C1100;16.96
C1100;16.96
C1100;16.98
C1100;16.97
C1100;16.94
C1100;16.98
C1100;16.97
C1100;17.05
C1100;16.97
C1100;16.96
C1100;16.96
C1100;17.01
C1100;17.03
C1100;17.04
C1100;17.08
C1100;17.04
C1100;17.06
C1100;17.07
C1100;17.06
C1100;17.01
C1100;17.06
C1100;17.08
C1100;17.08
C1100;17.08
C1100;17.06
C1100;17.06
C1100;17.11
C1100;17.09
C1100;17.08
C1100;17.10
C1100;17.05
C1100;16.99
C1100;16.93
C1100;16.92
C1100;16.90
C1100;16.97
C1100;16.91
C1100;16.97
C1100;16.96
C1100;16.95
C1100;16.93
C1100;16.86
C1100;16.94
C1100;16.94
C1100;16.99
C1100;16.92
C1100;16.94
C1100;16.93
C1100;16.92
C1100;16.97
C1100;16.91
C1100;16.91
C1100;16.94
C1100;16.91
C1100;16.92
C1100;16.91
C1100;16.90
C1100;16.91
C1100;16.89
C1100;16.90
C1100;16.88
C1100;16.90
C1100;16.91
C1100;16.89
C1100;16.89
C1100;16.86
C1100;16.89
C1100;16.90
C1100;16.90
C1100;16.90
C1100;16.87
C1100;16.89
C1100;16.88
C1100;16.88
C1100;16.88
C1100;16.86
C1100;16.88
C1100;16.89
C1100;16.88
C1100;16.89
C1100;16.80
C1100;16.90
C1100;16.79
C1100;16.86
C1100;16.86
C1100;16.85
C1100;16.80
C1100;16.81
C1100;16.88
C1100;16.81
C1100;16.85
C1100;16.79
C1100;16.78
C1100;16.84
C1100;16.80
C1100;16.82
C1100;16.85
C1100;16.79
C1100;16.85
C1100;16.79
C1100;16.76
C1100;16.84
C1100;16.86
C1100;16.85
C1100;16.95
C1100;17.02
C1100;17.18
C1100;17.22
C1100;17.23
C1100;17.23
C1100;17.14
C1100;17.23
C1100;17.22
C1100;17.25
C1100;17.25
C1100;17.24
C1100;17.25
C1100;17.27
C1100;17.19
C1100;17.25
C1100;17.26
C1100;17.26
C1100;17.26
C1100;17.18
C1100;17.17
C1100;17.03
C1100;16.96
C1100;16.94
C1100;16.97
C1100;16.87
C1100;16.85
C1100;16.82
C1100;16.87
C1100;16.87
C1100;16.81
C1100;16.79
C1100;16.81
C1100;16.80
C1100;16.78
C1100;16.80
C1100;16.78
C1100;16.77
C1100;16.75
C1100;16.77
C1100;16.76
C1100;16.75
C1100;16.76
C1100;16.78
C1100;16.76
C1100;16.75
C1100;16.74
C1100;16.74
C1100;16.73
C1100;16.80
C1100;16.79
C1100;16.72
C1100;16.79
C1100;16.74
C1100;16.72
C1100;16.80
C1100;16.69
C1100;16.78
C1100;16.77
C1100;16.71
C1100;16.77
C1100;16.71
C1100;16.74
C1100;16.71
C1100;16.72
C1100;16.73
C1100;16.71
C1100;16.71
C1100;16.69
C1100;16.70
C1100;16.71
C1100;16.68
C1100;16.72
C1100;16.71
C1100;16.70
C1100;16.76
C1100;16.68
C1100;16.76
C1100;16.70
C1100;16.69
C1100;16.68
C1100;16.67
C1100;16.67
C1100;16.70
C1100;16.69
C1100;16.69
C1100;16.66
C1100;16.68
C1100;16.72
C1100;16.67
C1100;16.67
C1100;16.66
C1100;16.67
C1100;16.74
C1100;16.68
C1100;16.69
C1100;16.67
C1100;16.68
C1100;16.73
C1100;16.81
C1100;16.96
C1100;17.03
C1100;17.06
C1100;17.08
C1100;17.09
C1100;17.09
C1100;17.06
C1100;17.07
C1100;17.10
C1100;17.12
C1100;17.12
C1100;17.10
C1100;17.13
C1100;17.12
C1100;17.13
C1100;17.13
C1100;17.11
C1100;17.12
C1100;17.19
C1100;17.14
C1100;17.11
C1100;17.10
C1100;17.04
C1100;16.95
C1100;16.90
C1100;16.84
C1100;16.79
C1100;16.79
C1100;16.78
C1100;16.76
C1100;16.77
C1100;16.74
C1100;16.75
C1100;16.74
C1100;16.72
C1100;16.71
C1100;16.70
C1100;16.78
C1100;16.72
C1100;16.71
C1100;16.72
C1100;16.70
C1100;16.70
C1100;16.69
C1100;16.68
C1100;16.68
C1100;16.67
C1100;16.69
C1100;16.72
C1100;16.70
C1100;16.72
C1100;16.76
C1100;16.81
C1100;16.58
C1100;16.84
C1100;16.85
C1100;16.86
C1100;16.61
C1100;16.78
C1100;16.55
C1100;16.76
C1100;16.78
C1100;16.62
C1100;16.80
C1100;16.80
C1100;16.83
C1100;16.86
C1100;16.87
C1100;16.96
C1100;16.73
C1100;16.72
C1100;17.07
C1100;16.74
C1100;16.91
C1100;16.82
C1100;16.84
C1100;17.01
C1100;16.80
C1100;16.99
C1100;16.85
C1100;16.87
C1100;16.90
C1100;16.89
C1100;17.10
C1100;17.17
C1100;16.97
C1100;17.22
C1100;17.22
C1100;17.20
C1100;17.27
C1100;17.08
C1100;17.22
C1100;17.27
C1100;17.25
C1100;17.28
C1100;17.15
C1100;17.37
